# Human_geneid	Human_ids	Mouse_geneid	Mouse_ids
9	ENST00000545197,ENST00000307719,ENST00000518029,P18440	17960	P50294
13	ENST00000232892,P22760	67758	Q99PG0,ENSMUST00000029325
14	ENST00000248450,Q13685,ENST00000444053	227290	ENSMUST00000178235,ENSMUST00000006462
15	ENST00000250615,Q16613,ENST00000392492,Q16613-2	11298	ENSMUST00000153476,ENSMUST00000021160,O88816
16	P49588-2,ENST00000261772,P49588	234734	Q8BGQ7,ENSMUST00000034441
18	P80404,ENST00000396600,ENST00000268251,ENST00000569156,ENST00000425191	268860	ENSMUST00000115839,P61922,ENSMUST00000065987,P61922-2
19	ENST00000374736,O95477	11303	ENSMUST00000030010,P41233
20	ENST00000341511,Q9BZC7,ENST00000459850,ENST00000614293,ENST00000371605,Q9BZC7-2,Q9BZC7-3	11305	ENSMUST00000102919
22	ENST00000529949,O75027,O75027-2,O75027-3,ENST00000620875,ENST00000373394,ENST00000253577,ENST00000339447	11306	Q61102,ENSMUST00000033695
23	ENST00000326195,Q8NE71-2,Q8NE71,ENST00000376545	224742	ENSMUST00000043757,Q6P542
24	P78363,ENST00000370225	11304	ENSMUST00000013995,O35600
25	ENST00000372348,P00519-2,P00519,ENST00000318560	11350	ENSMUST00000075759,P00520-4,P00520-3,P00520,ENSMUST00000028190,P00520-2
27	ENST00000344730,ENST00000511413,P42684-6,P42684-2,P42684-5,ENST00000367623,P42684,P42684-3,ENST00000502732,ENST00000507173,ENST00000512653,ENST00000392043,P42684-7,P42684-8,ENST00000504405,P42684-10,P42684-4	11352	ENSMUST00000027888,ENSMUST00000166172
28	P16442,ENST00000453660	80908	ENSMUST00000102900,P38649
29	ENST00000544583,Q12979,Q12979-2,Q12979-4,Q12979-3,ENST00000291107,ENST00000543210,ENST00000302538,ENST00000536794	109934	ENSMUST00000108408,ENSMUST00000094012,Q5SSL4-3,ENSMUST00000072740,ENSMUST00000065028,Q5SSL4-4,Q5SSL4,Q5SSL4-2
30	ENST00000411549,P09110-2,ENST00000301810,ENST00000333167,P09110	235674	ENSMUST00000010795,Q8VCH0
31	ENST00000616317,Q13085-3,ENST00000617649,Q13085,ENST00000614428,Q13085-4,ENST00000612895,Q13085-2	107476	Q5SWU9-2,Q5SWU9,ENSMUST00000020843
32	O00763-3,O00763-2,ENST00000377854,ENST00000338432,O00763	100705	ENSMUST00000031583,E9Q4Z2
33	ENST00000233710,P28330	11363	ENSMUST00000027153,P51174
34	ENST00000370834,P11310,ENST00000420607,P11310-2,ENST00000370841,ENST00000541113	11364	ENSMUST00000072697,P45952
35	P16219,ENST00000411593,ENST00000242592	11409	Q07417,ENSMUST00000031524
36	P45954,ENST00000358776,ENST00000368869,P45954-2	66885	Q9DBL1,ENSMUST00000015829
37	ENST00000350303,P49748-3,ENST00000322910,P49748,P49748-2,ENST00000356839,ENST00000543245	11370	P50544,ENSMUST00000102574
38	ENST00000673531,ENST00000672907,P24752,ENST00000672354,ENST00000672284,ENST00000672031,P24752-2,ENST00000265838	110446	ENSMUST00000034547,Q8QZT1
40	ENST00000225823,ENST00000359872,Q16515-2,Q16515	11418	ENSMUST00000066197,Q925H0-2,ENSMUST00000021045,Q925H0
41	ENST00000550558,ENST00000552438,ENST00000228468,ENST00000447966,P78348-1,P78348-3,P78348	11419	ENSMUST00000228185,Q6NXK8-2,Q6NXK8,ENSMUST00000023758
43	P22303-2,P22303,P22303-3,ENST00000419336,ENST00000428317,ENST00000440755,ENST00000412389,P22303-4,ENST00000411582,ENST00000241069	11423	ENSMUST00000024099,ENSMUST00000085934,P21836
47	ENST00000353196,P53396-3,ENST00000352035,P53396-2,P53396	104112	Q91V92,ENSMUST00000007131,ENSMUST00000107389
48	ENST00000379923,P21399,ENST00000309951,ENST00000541043	11428	ENSMUST00000102973,P28271
49	P10323,ENST00000216139	11434	ENSMUST00000023295,P23578
50	Q99798,ENST00000216254	11429	Q99KI0,ENSMUST00000023116
51	Q15067-3,Q15067-2,ENST00000301608,Q15067,ENST00000293217	11430	ENSMUST00000072948,ENSMUST00000066587,Q9R0H0-2,Q9R0H0
52	ENST00000407983,ENST00000272067,P24666-3,ENST00000272065,P24666-2,P24666-4,P24666	11431	ENSMUST00000074038,Q9D358,ENSMUST00000062740,Q9D358-2
53	P11117,ENST00000527256,ENST00000533929,ENST00000529444,P11117-2	11432	P24638
54	ENST00000412435,P13686,ENST00000218758	11433	Q05117,ENSMUST00000069330,ENSMUST00000115315,ENSMUST00000165735
55	P15309,ENST00000475741,P15309-3,ENST00000351273,P15309-2,ENST00000336375	56318	ENSMUST00000062723,ENSMUST00000112590,Q8CE08-2,Q8CE08
56	P26436,P26436-11,P26436-8,P26436-10,P26436-3,P26436-7,P26436-5,P26436-6,ENST00000527795,P26436-4,ENST00000530048,ENST00000315608,ENST00000533904,P26436-2,P26436-9	11451	ENSMUST00000034620,P50289
58	P68133,ENST00000366684	11459	P68134,ENSMUST00000034453
59	P62736,ENST00000224784	11475	P62737,ENSMUST00000039631
60	ENST00000646664,P60709	11461	P60710,ENSMUST00000100497
70	P68032,ENST00000290378	11464	ENSMUST00000090269,P68033
71	ENST00000573283,P63261,ENST00000644774	11465	P63260,ENSMUST00000071555
72	ENST00000409731,P63267,P63267-2,ENST00000345517	11468	ENSMUST00000075161,P63268
81	O43707-3,ENST00000424234,O43707,ENST00000440400,ENST00000252699,O43707-2	60595	P57780,ENSMUST00000068045
86	ENST00000429709,O96019,ENST00000392662,O96019-2,ENST00000450518	56456	ENSMUST00000029214,Q9Z2N8
87	P12814-2,P12814-3,P12814-4,P12814,ENST00000193403,ENST00000394419,ENST00000438964	109711	ENSMUST00000167327,ENSMUST00000021554,Q7TPR4
88	P35609-2,ENST00000542672,ENST00000366578,P35609	11472	Q9JI91,ENSMUST00000064204
89	ENST00000502692,Q08043,ENST00000513398	11474	O88990,ENSMUST00000006626
90	ENST00000263640,ENST00000539637,ENST00000410057,Q04771,ENST00000409283,ENST00000424669,ENST00000434821	11477	ENSMUST00000090935,P37172,ENSMUST00000056376,ENSMUST00000112601
91	P36896,P36896-4,ENST00000542485,P36896-3,ENST00000541224,ENST00000257963,P36896-2,P36896-5	11479	Q61271,ENSMUST00000000544
92	P27037-2,ENST00000535787,ENST00000404590,P27037,ENST00000241416	11480	P27038,ENSMUST00000063886
93	ENST00000352511,Q13705	11481	P27040,ENSMUST00000215746,P27040-3,ENSMUST00000165044,P27040-4,P27040-2
94	P37023,ENST00000388922,ENST00000550683	11482	ENSMUST00000000542,ENSMUST00000117984,Q61288,ENSMUST00000120028,ENSMUST00000119063
95	ENST00000494103,ENST00000476854,Q03154-2,ENST00000636358,Q03154,Q03154-3,ENST00000476351,ENST00000404366,Q03154-4	109652	Q99JW2,ENSMUST00000024031
97	P07311-2,P07311,ENST00000555463,ENST00000238618,ENST00000555694,ENST00000357971	66204	ENSMUST00000065913,P56376,ENSMUST00000008966,ENSMUST00000121930
98	ENST00000394666,ENST00000607452,P14621	75572	ENSMUST00000074613,P56375
100	ENST00000372874,ENST00000537820,ENST00000536532,P00813	11486	ENSMUST00000017841,P03958
101	P78325-2,ENST00000415217,ENST00000445355,ENST00000485491,P78325,P78325-3	11501	ENSMUST00000026546,Q05910,ENSMUST00000106069
102	O14672-2,O14672,ENST00000260408	11487	ENSMUST00000067880,O35598
103	ENST00000648231,P55265-4,ENST00000368474,P55265,P55265-2,P55265-5,P55265-3,ENST00000368471,ENST00000649022,ENST00000529168,ENST00000649749	56417	Q99MU3,Q99MU3-2,ENSMUST00000107405,ENSMUST00000029563,Q99MU3-3,Q99MU3-5,ENSMUST00000098924,Q99MU3-4
104	ENST00000360697,P78563,ENST00000389863,ENST00000389861,ENST00000348831,P78563-3,P78563-5,P78563-2,P78563-4,ENST00000496664,P78563-6	110532	ENSMUST00000020496,Q91ZS8-2,Q91ZS8,ENSMUST00000105404,Q91ZS8-4,Q91ZS8-6,ENSMUST00000144547,Q91ZS8-3,Q91ZS8-5,ENSMUST00000098374
105	Q9NS39-2,Q9NS39,ENST00000381312	94191	ENSMUST00000123187,ENSMUST00000064473,Q9JI20
107	ENST00000297323,Q08828,ENST00000432715	432530	O88444,ENSMUST00000020706
108	Q08462-2,ENST00000338316,Q08462	210044	ENSMUST00000022013
109	O60266,ENST00000260600,ENST00000606682,ENST00000405392,O60266-2	104111	ENSMUST00000020984,ENSMUST00000124505,ENSMUST00000152065,Q8VHH7
111	O95622,O95622-2,ENST00000491190,ENST00000309879,ENST00000462833	224129	P84309-2,P84309,ENSMUST00000114913
112	ENST00000307885,O43306,O43306-2	11512	Q01341,ENSMUST00000228566,ENSMUST00000096224
113	ENST00000567277,ENST00000673801,P51828,ENST00000566433	11513	ENSMUST00000169037,ENSMUST00000168545,ENSMUST00000098521,P51829,ENSMUST00000171456
114	ENST00000377928,P40145,ENST00000286355	11514	ENSMUST00000228014,ENSMUST00000023007,P97490
115	O60503,ENST00000294016	11515	ENSMUST00000120080,P51830,ENSMUST00000117801
116	ENST00000450565,P18509,ENST00000579794	11516	ENSMUST00000064775,O70176,ENSMUST00000234081
117	ENST00000614107,ENST00000409363,ENST00000304166,P41586-5,P41586-2,ENST00000409489,P41586,P41586-4,P41586-3	11517	ENSMUST00000172084,ENSMUST00000070756,ENSMUST00000070736,ENSMUST00000165786,P70205
118	ENST00000264758,ENST00000651918,P35611,P35611-3,P35611-5,ENST00000398125,P35611-6,ENST00000513328,ENST00000355842,P35611-2,ENST00000398129,ENST00000398123,P35611-4	11518	ENSMUST00000114335,ENSMUST00000001108,Q9QYC0,Q9QYC0-2,ENSMUST00000114338
119	P35612-3,ENST00000413157,ENST00000264436,ENST00000407644,P35612-8,P35612-4,P35612-5,P35612-9,P35612,ENST00000430656,P35612-2,P35612-6,P35612-7,ENST00000355733	11519	ENSMUST00000203724,Q9QYB8-3,ENSMUST00000203366,Q9QYB8,Q9QYB8-2,ENSMUST00000032069,ENSMUST00000205034,ENSMUST00000204059
120	Q9UEY8-2,ENST00000356080,ENST00000277900,Q9UEY8,ENST00000360162	27360	Q9QYB5-2,ENSMUST00000050096,ENSMUST00000237430,ENSMUST00000237301,ENSMUST00000025999,ENSMUST00000111741,Q9QYB5
123	ENST00000276914,Q99541	11520	ENSMUST00000000466,P43883
126	P00326,ENST00000515683	11522	ENSMUST00000004232,P00329
127	ENST00000265512,P08319-2,ENST00000508393,P08319,ENST00000505590	26876	ENSMUST00000013458,Q9QYY9
128	P11766,ENST00000296412	11532	ENSMUST00000005964,P28474
131	P40394,P40394-2,ENST00000476959	11529	ENSMUST00000090171,Q64437
132	P55263-2,ENST00000372734,ENST00000673310,ENST00000673027,ENST00000672394,P55263-3,ENST00000539909,P55263,ENST00000672429,P55263-4,ENST00000673352	11534	ENSMUST00000224069,P55264,P55264-2,ENSMUST00000045376
133	P35318,ENST00000278175	11535	ENSMUST00000033054,P97297
134	ENST00000367236,P30542-2,P30542,ENST00000618295,ENST00000337894	11539	Q60612,ENSMUST00000086465,ENSMUST00000038191
135	ENST00000618076,ENST00000337539,ENST00000610595,P29274	11540	ENSMUST00000105420,Q60613
136	ENST00000304222,P29275	11541	Q60614,ENSMUST00000018644
141	ENST00000478927,ENST00000357003,P54922	11544	P54923,ENSMUST00000002923
142	ENST00000366794,P09874	11545	ENSMUST00000027777
143	Q9UKK3,ENST00000381989	328417	ENSMUST00000161553,E9PYK3
146	ENST00000379453,P25100	11550	ENSMUST00000103184
147	P35368,ENST00000306675	11548	ENSMUST00000067258,ENSMUST00000167574,ENSMUST00000139906
148	ENST00000380582,P35348-8,P35348,P35348-6,ENST00000380572,ENST00000521711,ENST00000380586,P35348-9,P35348-5,P35348-7,ENST00000354550,P35348-3,P35348-4,P35348-2	11549	ENSMUST00000225182,ENSMUST00000161339,ENSMUST00000054661,ENSMUST00000159365,P97718
150	P08913	11551	Q01338,ENSMUST00000036700
152	P18825,ENST00000330055	11553	Q01337
153	P08588	11554	P34971,ENSMUST00000038949
154	P07550	11555	P18762
155	ENST00000345060,P13945	11556	ENSMUST00000081438,P25962-2,P25962
156	ENST00000308595,P25098	110355	Q99MK8,ENSMUST00000088737,ENSMUST00000025791
157	ENST00000324198,P35626	320129	Q3UYH7,ENSMUST00000065167
158	P30566,P30566-2,ENST00000342312,ENST00000216194,ENST00000636265,ENST00000625194,ENST00000636714,ENST00000623063	11564	P54822,ENSMUST00000023043
159	P30520,ENST00000366535	11566	ENSMUST00000016105,P46664
160	O95782-2,ENST00000359032,ENST00000354293,O95782	11771	P17426-2,P17426,ENSMUST00000107857,ENSMUST00000166972
161	ENST00000448903,O94973-2,O94973,O94973-3,ENST00000332231,ENST00000528815	11772	ENSMUST00000003038,P17427
162	ENST00000432560,Q10567-4,Q10567,ENST00000357586,Q10567-3,Q10567-2,ENST00000317368	11764	ENSMUST00000101613,ENSMUST00000009234,O35643
163	ENST00000614600,P63010-3,P63010,P63010-2,ENST00000621914,ENST00000616681,ENST00000610402	71770	Q9DBG3-2,ENSMUST00000018875,Q9DBG3,ENSMUST00000065692
164	ENST00000299980,ENST00000393512,O43747-2,O43747	11765	ENSMUST00000034171,P22892,ENSMUST00000093157
165	ENST00000223357,Q8IUX7-2,Q8IUX7	11568	Q640N1-2,Q640N1,ENSMUST00000102923
166	Q08117,Q08117-2,ENST00000327141,ENST00000221561	14797	P63002-2,ENSMUST00000002518,P63002
167	P54107,ENST00000507853,ENST00000335847,P54107-2,ENST00000505118	11571	Q03401,ENSMUST00000026498
173	ENST00000226355,P43652	280662	O89020-3,O89020,ENSMUST00000113179,O89020-2
174	ENST00000395792,P02771	11576	P02772,ENSMUST00000042755
175	P20933,ENST00000264595	11593	Q64191,ENSMUST00000211424,ENSMUST00000033920
176	ENST00000559004,P16112-2,P16112-3,ENST00000439576,ENST00000560601,ENST00000352105,P16112	11595	ENSMUST00000032835,Q61282
177	ENST00000375076,ENST00000375069,Q15109-7,Q15109-8,Q15109-2,Q15109-6,ENST00000375055,ENST00000484849,ENST00000375070,ENST00000438221,Q15109-4,Q15109-10,Q15109-5,Q15109,Q15109-9,Q15109-3,ENST00000375067	11596	Q62151-4,Q62151-12,Q62151-2,Q62151-6,Q62151-9,Q62151-13,ENSMUST00000015596,Q62151-7,Q62151,ENSMUST00000174496,Q62151-8,Q62151-11,ENSMUST00000173992,Q62151-3,Q62151-10,ENSMUST00000174069,Q62151-5,ENSMUST00000184805
178	ENST00000370165,P35573-3,ENST00000294724,P35573,ENST00000361915,ENST00000370163,P35573-2,ENST00000637337	77559	ENSMUST00000159742
181	ENST00000290953,O00253	11604	ENSMUST00000194654,ENSMUST00000005849,P56473
182	P78504,ENST00000254958,P78504-2	16449	Q9QXX0,ENSMUST00000028735
185	ENST00000404754,ENST00000497524,P30556,ENST00000349243	11608	P29755,ENSMUST00000068316
186	ENST00000371906,P50052	11609	ENSMUST00000089188,P35374
187	ENST00000606794,P35414	23796	Q9WV08
189	ENST00000307503,P21549	11611	O35423-2,O35423,ENSMUST00000027491
190	P51843,P51843-2,ENST00000378970	11614	ENSMUST00000026036,Q61066
191	ENST00000217426,P23526,P23526-2,ENST00000538132	269378	P50247,ENSMUST00000054607
196	P35869,ENST00000242057	11622	ENSMUST00000116436,P30561
197	P02765,ENST00000273784,ENST00000411641	11625	ENSMUST00000023583,P29699,ENSMUST00000232098
199	ENST00000376059,P55008,P55008-3,ENST00000376049,P55008-2	11629	ENSMUST00000172693,O70200,ENSMUST00000173324,ENSMUST00000172679
202	Q9Y4K1-2,Q9Y4K1,ENST00000633556	11630	ENSMUST00000020017,ENSMUST00000200401
203	ENST00000223836,ENST00000644144,ENST00000373156,P00568	11636	ENSMUST00000068271,Q9R0Y5-2,ENSMUST00000113277,Q9R0Y5,ENSMUST00000113278
204	ENST00000467905,P54819,ENST00000480134,P54819-3,P54819-5,ENST00000373449,P54819-6,ENST00000548033,ENST00000672715,P54819-4,ENST00000672308,P54819-2	11637	ENSMUST00000102604,Q9WTP6,ENSMUST00000030583,Q9WTP6-2
